"","term","freq"
"1","data",24
"2","fractal",23
"3","linear",18
"4","scienc",16
"5","analysi",13
"6","analyt",12
"7","busi",12
"8","pattern",12
"9","text",12
"10","also",11
"11","vector",11
"12","studi",10
"13","use",10
"14","mathemat",9
"15","mine",9
"16","network",9
"17","social",9
"18","space",9
"19","algebra",8
"20","can",8
"21","includ",8
"22","model",8
"23","process",8
"24","dimens",7
"25","equat",7
"26","inform",7
"27","natur",7
"28","set",7
"29","statist",7
"30","structur",7
"31","transform",7
"32","learn",6
"33","predict",6
"34","scale",6
"35","comput",5
"36","eigenvalu",5
"37","eigenvector",5
"38","usual",5
"39","centuri",4
"40","continu",4
"41","databas",4
"42","deriv",4
"43","extract",4
"44","field",4
"45","focus",4
"46","geometr",4
"47","happen",4
"48","intellig",4
"49","languag",4
"50","line",4
"51","mandelbrot",4
"52","mani",4
"53","perform",4
"54","point",4
"55","power",4
"56","refer",4
"57","techniqu",4
"58","theori",4
"59","visual",4
"60","word",4
"61","appli",3
"62","base",3
"63","big",3
"64","common",3
"65","concept",3
"66","decis",3
"67","develop",3
"68","differ",3
"69","differenti",3
"70","direct",3
"71","document",3
"72","doubl",3
"73","drive",3
"74","econom",3
"75","either",3
"76","engin",3
"77","exampl",3
"78","formal",3
"79","general",3
"80","insight",3
"81","investig",3
"82","length",3
"83","machin",3
"84","matric",3
"85","method",3
"86","new",3
"87","often",3
"88","recognit",3
"89","relat",3
"90","repres",3
"91","selfsimilar",3
"92","system",3
"93","two",3
"94","typic",3
"95","within",3
"96","alert",2
"97","answer",2
"98","applic",2
"99","area",2
"100","associ",2
"101","biolog",2
"102","call",2
"103","characterist",2
"104","combin",2
"105","concern",2
"106","condit",2
"107","correspond",2
"108","defin",2
"109","detail",2
"110","edg",2
"111","emerg",2
"112","entiti",2
"113","equival",2
"114","everi",2
"115","express",2
"116","form",2
"117","function",2
"118","gain",2
"119","graph",2
"120","high",2
"121","highqual",2
"122","human",2
"123","hyperplan",2
"124","idea",2
"125","import",2
"126","increas",2
"127","infinit",2
"128","input",2
"129","interest",2
"130","involv",2
"131","iter",2
"132","knowledg",2
"133","known",2
"134","lambda",2
"135","level",2
"136","make",2
"137","manag",2
"138","matrix",2
"139","may",2
"140","mean",2
"141","multipl",2
"142","ndimension",2
"143","need",2
"144","node",2
"145","nonzero",2
"146","number",2
"147","olap",2
"148","old",2
"149","particular",2
"150","past",2
"151","plan",2
"152","polygon",2
"153","queri",2
"154","question",2
"155","radius",2
"156","ratio",2
"157","relationship",2
"158","repeat",2
"159","report",2
"160","resid",2
"161","scalar",2
"162","search",2
"163","solut",2
"164","sphere",2
"165","squar",2
"166","stretch",2
"167","subsequ",2
"168","summar",2
"169","symmetri",2
"170","technolog",2
"171","term",2
"172","theoret",2
"173","tie",2
"174","tool",2
"175","trend",2
"176","various",2
"177","work",2
"178","written",2
"179","abstract",1
"180","academ",1
"181","acquaint",1
"182","action",1
"183","activ",1
"184","actor",1
"185","addit",1
"186","affect",1
"187","along",1
"188","although",1
"189","amongst",1
"190","anim",1
"191","anthropolog",1
"192","approxim",1
"193","aris",1
"194","art",1
"195","artifici",1
"196","author",1
"197","autom",1
"198","avail",1
"199","axiom",1
"200","beauti",1
"201","beno",1
"202","bernard",1
"203","bernhard",1
"204","best",1
"205","bolzano",1
"206","branch",1
"207","broad",1
"208","broken",1
"209","burgeon",1
"210","calculus",1
"211","care",1
"212","carpet",1
"213","categor",1
"214","central",1
"215","chang",1
"216","character",1
"217","classif",1
"218","close",1
"219","cluster",1
"220","coin",1
"221","collabor",1
"222","column",1
"223","communic",1
"224","competit",1
"225","compress",1
"226","computerbas",1
"227","conceiv",1
"228","conceptent",1
"229","connect",1
"230","consensus",1
"231","consid",1
"232","consist",1
"233","construct",1
"234","consum",1
"235","contain",1
"236","content",1
"237","contrast",1
"238","coordin",1
"239","ctus",1
"240","curv",1
"241","damn",1
"242","degre",1
"243","depth",1
"244","describ",1
"245","devis",1
"246","digit",1
"247","dimension",1
"248","disagr",1
"249","disciplin",1
"250","discoveri",1
"251","diseas",1
"252","display",1
"253","distribut",1
"254","domain",1
"255","drawn",1
"256","economi",1
"257","eight",1
"258","employ",1
"259","encompass",1
"260","enhanc",1
"261","essenti",1
"262","evalu",1
"263","evolv",1
"264","exact",1
"265","exceed",1
"266","exhibit",1
"267","expand",1
"268","explanatori",1
"269","explor",1
"270","extend",1
"271","extens",1
"272","facilit",1
"273","factbas",1
"274","factor",1
"275","featur",1
"276","figur",1
"277","final",1
"278","financ",1
"279","first",1
"280","follow",1
"281","formul",1
"282","found",1
"283","four",1
"284","fraction",1
"285","fractur",1
"286","frequenc",1
"287","friendship",1
"288","fulli",1
"289","geographi",1
"290","geometri",1
"291","goal",1
"292","granular",1
"293","great",1
"294","growth",1
"295","guid",1
"296","hard",1
"297","health",1
"298","heavili",1
"299","histori",1
"300","illustr",1
"301","imag",1
"302","index",1
"303","indic",1
"304","individu",1
"305","infinitedimension",1
"306","influenc",1
"307","informat",1
"308","initi",1
"309","insert",1
"310","instanc",1
"311","instead",1
"312","integ",1
"313","integr",1
"314","interact",1
"315","interdisciplinari",1
"316","interesting",1
"317","interpret",1
"318","intersect",1
"319","karl",1
"320","kdddata",1
"321","key",1
"322","kinship",1
"323","latin",1
"324","latter",1
"325","law",1
"326","lead",1
"327","lexic",1
"328","like",1
"329","likewis",1
"330","limit",1
"331","linguist",1
"332","link",1
"333","magnif",1
"334","map",1
"335","mathematician",1
"336","measur",1
"337","media",1
"338","medic",1
"339","menger",1
"340","methodscit",1
"341","metric",1
"342","modern",1
"343","motiv",1
"344","move",1
"345","multipli",1
"346","name",1
"347","near",1
"348","necessarili",1
"349","negat",1
"350","newli",1
"351","next",1
"352","nlp",1
"353","nonlinear",1
"354","notion",1
"355","novelti",1
"356","now",1
"357","nowher",1
"358","onedimension",1
"359","onlin",1
"360","optim",1
"361","ordinari",1
"362","organ",1
"363","organiz",1
"364","other",1
"365","output",1
"366","overarch",1
"367","pars",1
"368","part",1
"369","path",1
"370","peopl",1
"371","perspect",1
"372","phenomenon",1
"373","physic",1
"374","plane",1
"375","polit",1
"376","popul",1
"377","practic",1
"378","preprocess",1
"379","probabl",1
"380","problem",1
"381","product",1
"382","program",1
"383","properti",1
"384","psycholog",1
"385","publish",1
"386","pure",1
"387","purpos",1
"388","qualiti",1
"389","rais",1
"390","real",1
"391","reason",1
"392","recurs",1
"393","relax",1
"394","relev",1
"395","remov",1
"396","render",1
"397","replic",1
"398","research",1
"399","resembl",1
"400","restrict",1
"401","retriev",1
"402","revers",1
"403","riemann",1
"404","rigor",1
"405","robot",1
"406","root",1
"407","rough",1
"408","satisfi",1
"409","scan",1
"410","semin",1
"411","sentiment",1
"412","sever",1
"413","sexual",1
"414","side",1
"415","sierpinski",1
"416","signal",1
"417","signific",1
"418","similar",1
"419","singl",1
"420","skill",1
"421","sna",1
"422","sociogram",1
"423","sociolinguist",1
"424","sociolog",1
"425","sometim",1
"426","sound",1
"427","spatial",1
"428","speech",1
"429","spong",1
"430","start",1
"431","still",1
"432","subspac",1
"433","surfac",1
"434","taggingannot",1
"435","task",1
"436","taxonomi",1
"437","therefor",1
"438","thing",1
"439","three",1
"440","throughout",1
"441","time",1
"442","topolog",1
"443","trace",1
"444","tradit",1
"445","translat",1
"446","transmiss",1
"447","treatment",1
"448","turn",1
"449","twodimension",1
"450","uncertainti",1
"451","understand",1
"452","unknown",1
"453","unstructur",1
"454","valu",1
"455","version",1
"456","via",1
"457","volum",1
"458","wareh",1
"459","way",1
"460","weierstrass",1
"461","welldevelop",1
"462","will",1
"463","wind",1
"464","year",1
"465","yet",1
"466","zero",1
